date_utc,asset,close_binance,close_kraken,close_coinbase
2025-06-28,BTC,107296.79,107325.1,107352.2
2025-06-29,BTC,108356.93,108387.2,108386.44
2025-06-30,BTC,107146.5,107120.3,107173.21
2025-07-01,BTC,105681.14,105700.1,105711.78
2025-07-02,BTC,108849.6,108846.9,108888.32
2025-07-03,BTC,109584.78,109631.0,109628.83
2025-07-04,BTC,107984.24,108018.9,108028.6
2025-07-05,BTC,108198.12,108249.5,108246.65
2025-07-06,BTC,109203.84,109223.2,109217.98
2025-07-07,BTC,108262.94,108282.1,108269.84
2025-07-08,BTC,108922.98,108931.9,108958.04
2025-07-09,BTC,111233.99,111323.7,111282.85
2025-07-10,BTC,116010.0,115990.2,116031.3
2025-07-11,BTC,117527.66,117532.6,117582.16
2025-07-12,BTC,117420.0,117461.0,117472.65
2025-07-13,BTC,119086.64,119102.1,119130.81
2025-07-14,BTC,119841.18,119855.0,119863.71
2025-07-15,BTC,117758.09,117741.0,117781.64
2025-07-16,BTC,118630.43,118712.6,118681.68
2025-07-17,BTC,119177.56,119321.0,119273.69
2025-07-18,BTC,117924.84,118011.9,118023.05
2025-07-19,BTC,117840.0,117909.1,117914.17
2025-07-20,BTC,117265.12,117319.1,117312.7
2025-07-21,BTC,117380.36,117461.0,117428.79
2025-07-22,BTC,119954.42,119977.5,120026.42
2025-07-23,BTC,118755.99,118735.3,118810.44
2025-07-24,BTC,118340.99,118386.9,118397.04
2025-07-25,BTC,117614.31,117628.1,117633.27
2025-07-26,BTC,117919.99,117937.5,117969.63
2025-07-27,BTC,119415.55,119455.0,119465.52
2025-07-28,BTC,118062.32,117979.7,118070.59
2025-07-29,BTC,117950.76,117923.0,117933.39
2025-07-30,BTC,117840.3,117820.7,117830.15
2025-07-31,BTC,115764.08,115762.3,115761.13
2025-08-01,BTC,113297.93,113290.2,113248.73
2025-08-02,BTC,112546.35,112525.2,112542.74
2025-08-03,BTC,114208.8,114224.1,114215.73
