asset,date_utc,timestamp_utc,close_px,volume_base,source
USDT,2024-10-24,2024-10-24 00:00:00+00:00,0.99938,126243793.45496668,kraken
USDT,2024-10-25,2024-10-25 00:00:00+00:00,0.99795,193338815.46248645,kraken
USDT,2024-10-26,2024-10-26 00:00:00+00:00,0.99869,61038247.91909978,kraken
USDT,2024-10-27,2024-10-27 00:00:00+00:00,0.99875,41276047.34463005,kraken
USDT,2024-10-28,2024-10-28 00:00:00+00:00,0.99931,138909632.66336364,kraken
USDT,2024-10-29,2024-10-29 00:00:00+00:00,0.9991,166012823.988035,kraken
USDT,2024-10-30,2024-10-30 00:00:00+00:00,0.99963,124366743.20861214,kraken
USDT,2024-10-31,2024-10-31 00:00:00+00:00,0.99855,130338147.7758705,kraken
USDT,2024-11-01,2024-11-01 00:00:00+00:00,0.99942,134514912.25644717,kraken
USDT,2024-11-02,2024-11-02 00:00:00+00:00,0.99979,43867038.39089324,kraken
USDT,2024-11-03,2024-11-03 00:00:00+00:00,0.99963,40569130.34219978,kraken
USDT,2024-11-04,2024-11-04 00:00:00+00:00,0.99948,142138350.07984367,kraken
USDT,2024-11-05,2024-11-05 00:00:00+00:00,1.0,110162723.04706006,kraken
USDT,2024-11-06,2024-11-06 00:00:00+00:00,1.00084,348126471.3512812,kraken
USDT,2024-11-07,2024-11-07 00:00:00+00:00,1.00081,289946031.1782669,kraken
USDT,2024-11-08,2024-11-08 00:00:00+00:00,1.00059,232764374.0320404,kraken
USDT,2024-11-09,2024-11-09 00:00:00+00:00,1.00055,85275038.26826479,kraken
USDT,2024-11-10,2024-11-10 00:00:00+00:00,1.00083,103692155.97473411,kraken
USDT,2024-11-11,2024-11-11 00:00:00+00:00,1.00123,263016780.27164376,kraken
USDT,2024-11-12,2024-11-12 00:00:00+00:00,1.00102,450125385.23515946,kraken
USDT,2024-11-13,2024-11-13 00:00:00+00:00,1.00132,419769147.4916128,kraken
USDT,2024-11-14,2024-11-14 00:00:00+00:00,1.00007,350266470.8528519,kraken
USDT,2024-11-15,2024-11-15 00:00:00+00:00,1.00033,228390656.26296923,kraken
USDT,2024-11-16,2024-11-16 00:00:00+00:00,1.00049,124342652.6389636,kraken
USDT,2024-11-17,2024-11-17 00:00:00+00:00,1.00025,68224427.25089948,kraken
USDT,2024-11-18,2024-11-18 00:00:00+00:00,1.00059,235727659.55159888,kraken
USDT,2024-11-19,2024-11-19 00:00:00+00:00,1.00137,259091035.68800452,kraken
USDT,2024-11-20,2024-11-20 00:00:00+00:00,1.00083,324437600.0685382,kraken
USDT,2024-11-21,2024-11-21 00:00:00+00:00,1.00107,340340521.1823367,kraken
USDT,2024-11-22,2024-11-22 00:00:00+00:00,1.00112,363213500.4459884,kraken
USDT,2024-11-23,2024-11-23 00:00:00+00:00,1.00092,184981795.06224504,kraken
USDT,2024-11-24,2024-11-24 00:00:00+00:00,1.00108,132390523.0444916,kraken
USDT,2024-11-25,2024-11-25 00:00:00+00:00,0.99971,315197769.7432716,kraken
USDT,2024-11-26,2024-11-26 00:00:00+00:00,0.99951,209622765.2141913,kraken
USDT,2024-11-27,2024-11-27 00:00:00+00:00,1.00103,241454884.0144948,kraken
USDT,2024-11-28,2024-11-28 00:00:00+00:00,1.00014,139522341.18250072,kraken
USDT,2024-11-29,2024-11-29 00:00:00+00:00,1.0004,227840965.03830943,kraken
USDT,2024-11-30,2024-11-30 00:00:00+00:00,1.00057,70645143.19202006,kraken
USDT,2024-12-01,2024-12-01 00:00:00+00:00,1.00072,79857102.19029294,kraken
USDT,2024-12-02,2024-12-02 00:00:00+00:00,1.0003,288133014.3471857,kraken
USDT,2024-12-03,2024-12-03 00:00:00+00:00,1.00078,269900150.76627654,kraken
USDT,2024-12-04,2024-12-04 00:00:00+00:00,1.00155,397772892.21986574,kraken
USDT,2024-12-05,2024-12-05 00:00:00+00:00,1.00113,461755440.2182882,kraken
USDT,2024-12-06,2024-12-06 00:00:00+00:00,1.00156,325051424.9430211,kraken
USDT,2024-12-07,2024-12-07 00:00:00+00:00,1.00095,154373408.28933907,kraken
USDT,2024-12-08,2024-12-08 00:00:00+00:00,1.00071,106375989.27444822,kraken
USDT,2024-12-09,2024-12-09 00:00:00+00:00,1.00043,300718467.9432087,kraken
USDT,2024-12-10,2024-12-10 00:00:00+00:00,1.00064,343108050.465479,kraken
USDT,2024-12-11,2024-12-11 00:00:00+00:00,1.00073,343718370.42217106,kraken
USDT,2024-12-12,2024-12-12 00:00:00+00:00,1.00019,236411675.4977496,kraken
USDT,2024-12-13,2024-12-13 00:00:00+00:00,1.00019,198737287.03127405,kraken
USDT,2024-12-14,2024-12-14 00:00:00+00:00,0.99979,109873306.30039732,kraken
USDT,2024-12-15,2024-12-15 00:00:00+00:00,0.99969,95091755.7770533,kraken
USDT,2024-12-16,2024-12-16 00:00:00+00:00,1.00012,339510604.245702,kraken
USDT,2024-12-17,2024-12-17 00:00:00+00:00,1.00015,376823291.61368525,kraken
USDT,2024-12-18,2024-12-18 00:00:00+00:00,0.99952,271534560.40080434,kraken
USDT,2024-12-19,2024-12-19 00:00:00+00:00,0.99917,280201485.50650936,kraken
USDT,2024-12-20,2024-12-20 00:00:00+00:00,0.99957,292195125.3633649,kraken
USDT,2024-12-21,2024-12-21 00:00:00+00:00,0.99944,109437335.804429,kraken
USDT,2024-12-22,2024-12-22 00:00:00+00:00,0.99905,81455661.07678218,kraken
USDT,2024-12-23,2024-12-23 00:00:00+00:00,0.99877,185176630.3439624,kraken
USDT,2024-12-24,2024-12-24 00:00:00+00:00,0.99932,207019794.70676064,kraken
USDT,2024-12-25,2024-12-25 00:00:00+00:00,0.9992,87487712.71500954,kraken
USDT,2024-12-26,2024-12-26 00:00:00+00:00,0.99877,112829013.33416334,kraken
USDT,2024-12-27,2024-12-27 00:00:00+00:00,0.99844,192401784.80851725,kraken
USDT,2024-12-28,2024-12-28 00:00:00+00:00,0.99818,73610168.82070094,kraken
USDT,2024-12-29,2024-12-29 00:00:00+00:00,0.99815,69006017.2927422,kraken
USDT,2024-12-30,2024-12-30 00:00:00+00:00,0.99799,199834392.31682152,kraken
USDT,2024-12-31,2024-12-31 00:00:00+00:00,0.99798,213582718.4625392,kraken
USDT,2025-01-01,2025-01-01 00:00:00+00:00,0.99788,81950520.40756996,kraken
USDT,2025-01-02,2025-01-02 00:00:00+00:00,0.99902,153530552.71637836,kraken
USDT,2025-01-03,2025-01-03 00:00:00+00:00,0.99955,190269204.16918308,kraken
USDT,2025-01-04,2025-01-04 00:00:00+00:00,0.99989,64469239.8345102,kraken
